anchor_id,selected_k,split,branch,num_samples,median_response_cosine,q25_response_cosine,contact_mode_purity,matrix
611,4,train_eps003,0,49,0.999428548071011,0.9984333069057988,0.6938775510204082,"[[0.006216755328068749,-0.009589711291383269,-0.011059818517752357,-0.0012332856163319438,0.004510257037252969,0.00515214561602245],[0.010854768036088305,-0.01381847601717536,-0.019084191445403978,0.0011348039969853918,0.0043470806342938585,0.006994094247685212],[0.006448828353166288,-0.008916122516670288,-0.011332410485034208,-5.401268073526627e-06,0.0034477938477397597,0.004606989685733544]]"
611,4,train_eps003,1,90,0.9997883529972499,0.9988510605153026,0.6333333333333333,"[[-0.0780669735766098,0.015660989660691668,0.04456374954396799,-0.0008695037057363635,0.039790029999960515,0.02232647125574956],[-0.08443988043459222,0.015754439052276793,0.043627647139404285,0.0022636215662280093,0.042955530483808554,0.0252989141057488],[-0.06725718869607288,0.012977122023480338,0.037206187637324244,0.00023127314868769962,0.03434527547306636,0.019489962011383487]]"
611,4,train_eps003,2,100,0.9998897531331086,0.9996007241338876,0.62,"[[0.12282791059385814,-0.034668537571287246,-0.06758448972754139,0.02837688193061459,-0.016221800967740046,-0.005808375189496947],[0.14510010400165355,-0.04025829999207048,-0.08348581548362248,0.035640296788127766,-0.020648176140929033,-0.006100226690148366],[0.10926860937648956,-0.0311755293988456,-0.060922777318488094,0.026042565264639175,-0.01492481025036428,-0.004994046469528319]]"
611,4,train_eps003,3,81,0.9997910972450753,0.998739731252138,0.5555555555555556,"[[0.009427868442451292,-0.0015141793452850846,-0.01708011820751824,0.016415117260121587,-0.01673111775231009,0.004577882392530001],[0.014703359948259168,-0.0035844188647070024,-0.026336804712925713,0.023296324412646962,-0.022435434111100744,0.006154306799719386],[0.009169345070396958,-0.0018446247199763912,-0.01665722780749037,0.015348298923057042,-0.015230459912118077,0.004137726363666578]]"
611,4,hold_eps003,0,18,0.9994389629818664,0.9967427434122093,0.5555555555555556,"[[0.006216755328068749,-0.009589711291383269,-0.011059818517752357,-0.0012332856163319438,0.004510257037252969,0.00515214561602245],[0.010854768036088305,-0.01381847601717536,-0.019084191445403978,0.0011348039969853918,0.0043470806342938585,0.006994094247685212],[0.006448828353166288,-0.008916122516670288,-0.011332410485034208,-5.401268073526627e-06,0.0034477938477397597,0.004606989685733544]]"
611,4,hold_eps003,1,25,0.9999120319284743,0.999732696963133,0.64,"[[-0.0780669735766098,0.015660989660691668,0.04456374954396799,-0.0008695037057363635,0.039790029999960515,0.02232647125574956],[-0.08443988043459222,0.015754439052276793,0.043627647139404285,0.0022636215662280093,0.042955530483808554,0.0252989141057488],[-0.06725718869607288,0.012977122023480338,0.037206187637324244,0.00023127314868769962,0.03434527547306636,0.019489962011383487]]"
611,4,hold_eps003,2,23,0.9999325331102717,0.9996829239264535,0.6086956521739131,"[[0.12282791059385814,-0.034668537571287246,-0.06758448972754139,0.02837688193061459,-0.016221800967740046,-0.005808375189496947],[0.14510010400165355,-0.04025829999207048,-0.08348581548362248,0.035640296788127766,-0.020648176140929033,-0.006100226690148366],[0.10926860937648956,-0.0311755293988456,-0.060922777318488094,0.026042565264639175,-0.01492481025036428,-0.004994046469528319]]"
611,4,hold_eps003,3,26,0.9996166642006485,0.9983440633018761,0.6923076923076923,"[[0.009427868442451292,-0.0015141793452850846,-0.01708011820751824,0.016415117260121587,-0.01673111775231009,0.004577882392530001],[0.014703359948259168,-0.0035844188647070024,-0.026336804712925713,0.023296324412646962,-0.022435434111100744,0.006154306799719386],[0.009169345070396958,-0.0018446247199763912,-0.01665722780749037,0.015348298923057042,-0.015230459912118077,0.004137726363666578]]"
611,4,hold_eps010,0,33,0.9954997076413733,-0.6297774140594944,0.6060606060606061,"[[0.006216755328068749,-0.009589711291383269,-0.011059818517752357,-0.0012332856163319438,0.004510257037252969,0.00515214561602245],[0.010854768036088305,-0.01381847601717536,-0.019084191445403978,0.0011348039969853918,0.0043470806342938585,0.006994094247685212],[0.006448828353166288,-0.008916122516670288,-0.011332410485034208,-5.401268073526627e-06,0.0034477938477397597,0.004606989685733544]]"
611,4,hold_eps010,1,9,0.9996715488352041,0.9994476655030928,0.5555555555555556,"[[-0.0780669735766098,0.015660989660691668,0.04456374954396799,-0.0008695037057363635,0.039790029999960515,0.02232647125574956],[-0.08443988043459222,0.015754439052276793,0.043627647139404285,0.0022636215662280093,0.042955530483808554,0.0252989141057488],[-0.06725718869607288,0.012977122023480338,0.037206187637324244,0.00023127314868769962,0.03434527547306636,0.019489962011383487]]"
