anchor_id,subtype,original_split,gate_reasons,obj_x,obj_y,speed,anchor_step,phase1_role,replay_complete,keep,keep_reason,label_label_y_cosine,probe_a_on_b_y_cosine,probe_b_on_a_y_cosine,oracle_axis_y_cosine,oracle_axis_y_relative_rmse,axis_repeat_y_cosine,axis_repeat_y_max_abs,probe_a_epsilon_y_cosine,probe_b_epsilon_y_cosine,target_label_norm_ratio,probe_a_epsilon_norm_ratio,probe_b_epsilon_norm_ratio,truth_y_norm,model,model_evaluable,pred_y_norm,y_cosine,sign_agreement,nonzero,analytic_status,closed_loop_status,action_scale,descent_delta,ascent_delta,descent_correct,ascent_correct,truth_y_row,pred_y_row
653,signature_only,train,hold_y_cosine|contact_signature_switch,0.302,0.068,1.5,98,frozen_diagnostic_test,True,True,ok,0.2964080595643218,0.40372318967987203,0.5488719757727138,0.7535122991772906,0.6574368994955369,1.0,0.0,0.7161247026789119,0.10362793448747447,1.6593198188305596,4.013447084374115,2.0360972757233515,0.46333323866772197,zero,True,0.0,,0.0,False,ok,zero_gradient,0.01,0.0,0.0,False,False,"[0.1853083223104477, 0.33189287781715393, 0.20260921120643616, 0.05466084182262421, -0.15860484540462494, 0.03149343281984329]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
653,signature_only,train,hold_y_cosine|contact_signature_switch,0.302,0.068,1.5,98,frozen_diagnostic_test,True,True,ok,0.2964080595643218,0.40372318967987203,0.5488719757727138,0.7535122991772906,0.6574368994955369,1.0,0.0,0.7161247026789119,0.10362793448747447,1.6593198188305596,4.013447084374115,2.0360972757233515,0.46333323866772197,global,True,0.011080610565841198,0.22521619542839338,0.6666666666666666,True,ok,ok,0.01,-0.0005175190268635445,3.3766783489552494e-05,True,True,"[0.1853083223104477, 0.33189287781715393, 0.20260921120643616, 0.05466084182262421, -0.15860484540462494, 0.03149343281984329]","[0.007645588368177414, 0.00048719948972575366, -0.005558035336434841, 0.002847104799002409, -0.004043720196932554, -0.0029560280963778496]"
653,signature_only,train,hold_y_cosine|contact_signature_switch,0.302,0.068,1.5,98,frozen_diagnostic_test,True,True,ok,0.2964080595643218,0.40372318967987203,0.5488719757727138,0.7535122991772906,0.6574368994955369,1.0,0.0,0.7161247026789119,0.10362793448747447,1.6593198188305596,4.013447084374115,2.0360972757233515,0.46333323866772197,learned,True,0.045963212847709656,-0.16460114605372095,0.6666666666666666,True,ok,ok,0.01,-4.05826696200152e-05,-0.00044626712423734326,True,False,"[0.1853083223104477, 0.33189287781715393, 0.20260921120643616, 0.05466084182262421, -0.15860484540462494, 0.03149343281984329]","[0.02123078890144825, -0.008499312214553356, -0.03460989147424698, 0.01767060160636902, -0.008414037525653839, 0.0029565654695034027]"
653,signature_only,train,hold_y_cosine|contact_signature_switch,0.302,0.068,1.5,98,frozen_diagnostic_test,True,True,ok,0.2964080595643218,0.40372318967987203,0.5488719757727138,0.7535122991772906,0.6574368994955369,1.0,0.0,0.7161247026789119,0.10362793448747447,1.6593198188305596,4.013447084374115,2.0360972757233515,0.46333324167045475,analytic,True,0.0,,0.0,False,ok,zero_gradient,0.01,0.0,0.0,False,False,"[0.18530832069659595, 0.3318928849692192, 0.2026092075639648, 0.05466084339342151, -0.15860484498769406, 0.03149343392708725]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
653,signature_only,train,hold_y_cosine|contact_signature_switch,0.302,0.068,1.5,98,frozen_diagnostic_test,True,True,ok,0.2964080595643218,0.40372318967987203,0.5488719757727138,0.7535122991772906,0.6574368994955369,1.0,0.0,0.7161247026789119,0.10362793448747447,1.6593198188305596,4.013447084374115,2.0360972757233515,0.46333323866772197,oracle,True,0.46333323866772197,0.9999999999999999,1.0,True,ok,ok,0.01,-0.00047854456924992803,-7.45618868686071e-06,True,False,"[0.1853083223104477, 0.33189287781715393, 0.20260921120643616, 0.05466084182262421, -0.15860484540462494, 0.03149343281984329]","[0.1853083223104477, 0.33189287781715393, 0.20260921120643616, 0.05466084182262421, -0.15860484540462494, 0.03149343281984329]"
736,cross_only,train,cross_epsilon_y_cosine,0.302,0.068,1.7,100,frozen_diagnostic_test,True,True,ok,0.7911993695479571,0.6217180763789326,0.8625097654334181,0.5625064203575411,0.8701139685764796,1.0,0.0,0.7507093182817872,0.6807500775167903,1.8355807838748086,5.202897970686514,2.9728434433919526,0.05481289205660008,zero,True,0.0,,0.0,False,ok,zero_gradient,0.01,0.0,0.0,False,False,"[0.014930478297173977, -0.010295354761183262, -0.04428649693727493, 0.011826815083622932, -0.019928202033042908, 0.013313114643096924]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
736,cross_only,train,cross_epsilon_y_cosine,0.302,0.068,1.7,100,frozen_diagnostic_test,True,True,ok,0.7911993695479571,0.6217180763789326,0.8625097654334181,0.5625064203575411,0.8701139685764796,1.0,0.0,0.7507093182817872,0.6807500775167903,1.8355807838748086,5.202897970686514,2.9728434433919526,0.05481289205660008,global,True,0.011080610565841198,0.7082857324211785,0.6666666666666666,True,ok,ok,0.01,-4.465132056097332e-05,0.00012237447535405925,True,True,"[0.014930478297173977, -0.010295354761183262, -0.04428649693727493, 0.011826815083622932, -0.019928202033042908, 0.013313114643096924]","[0.007645588368177414, 0.00048719948972575366, -0.005558035336434841, 0.002847104799002409, -0.004043720196932554, -0.0029560280963778496]"
736,cross_only,train,cross_epsilon_y_cosine,0.302,0.068,1.7,100,frozen_diagnostic_test,True,True,ok,0.7911993695479571,0.6217180763789326,0.8625097654334181,0.5625064203575411,0.8701139685764796,1.0,0.0,0.7507093182817872,0.6807500775167903,1.8355807838748086,5.202897970686514,2.9728434433919526,0.05481289205660008,learned,True,0.06203966215252876,0.9188028808817761,1.0,True,ok,ok,0.01,-4.967707663161569e-05,0.000125038284718926,True,True,"[0.014930478297173977, -0.010295354761183262, -0.04428649693727493, 0.011826815083622932, -0.019928202033042908, 0.013313114643096924]","[0.03251733258366585, -0.009419620037078857, -0.045022983103990555, 0.022103454917669296, -0.013635427691042423, 0.0011211247183382511]"
736,cross_only,train,cross_epsilon_y_cosine,0.302,0.068,1.7,100,frozen_diagnostic_test,True,True,ok,0.7911993695479571,0.6217180763789326,0.8625097654334181,0.5625064203575411,0.8701139685764796,1.0,0.0,0.7507093182817872,0.6807500775167903,1.8355807838748086,5.202897970686514,2.9728434433919526,0.054812893191099755,analytic,True,0.0,,0.0,False,ok,zero_gradient,0.01,0.0,0.0,False,False,"[0.014930478087785267, -0.01029535477737316, -0.04428649807902363, 0.011826815020260374, -0.01992820259788778, 0.013313114949094845]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
736,cross_only,train,cross_epsilon_y_cosine,0.302,0.068,1.7,100,frozen_diagnostic_test,True,True,ok,0.7911993695479571,0.6217180763789326,0.8625097654334181,0.5625064203575411,0.8701139685764796,1.0,0.0,0.7507093182817872,0.6807500775167903,1.8355807838748086,5.202897970686514,2.9728434433919526,0.05481289205660008,oracle,True,0.05481289205660008,1.0,1.0,True,ok,ok,0.01,-4.7040119202357115e-05,0.00012207230619076803,True,True,"[0.014930478297173977, -0.010295354761183262, -0.04428649693727493, 0.011826815083622932, -0.019928202033042908, 0.013313114643096924]","[0.014930478297173977, -0.010295354761183262, -0.04428649693727493, 0.011826815083622932, -0.019928202033042908, 0.013313114643096924]"
