iter,loss,grad_norm,grad_nan,status
0,4.528345584869385,4.2559819477386815,0,ok
1,4.5281782150268555,4.255903295436519,0,ok
2,4.527976989746094,4.25580850739736,0,ok
3,4.527861595153809,4.2557545019203395,0,ok
4,4.527734756469727,4.255695117513417,0,ok
5,4.527590751647949,4.255627216591204,0,ok
6,4.52745246887207,4.255562227895191,0,ok
7,4.527261734008789,4.2554725866858965,0,ok
8,4.52713680267334,4.255413870670321,0,ok
9,4.52707576751709,4.25538496057874,0,ok
10,4.526961326599121,4.255331397952043,0,ok
11,4.526852607727051,4.255280299922463,0,ok
12,4.526750564575195,4.25523233893295,0,ok
13,4.526653289794922,4.255186618607895,0,ok
14,4.526510238647461,4.255119381943337,0,ok
15,4.526474475860596,4.255102572611192,0,ok
16,4.526342868804932,4.2550409378252,0,ok
17,4.526334285736084,4.255036679388832,0,ok
18,4.526259422302246,4.255001491093626,0,ok
19,4.526124954223633,4.254938285909037,0,ok
20,4.526060581207275,4.254908027775583,0,ok
