step,phase,eps,cos,analytic_norm,numerical_norm,tag
7,approach,0.0001,0.9999904036521912,4.244101524353027,4.155438423156738,GOOD
15,close-onset,0.0001,0.9648817181587219,0.13758277893066406,0.12651918828487396,GOOD
18,close-onset,0.0001,0.0045570190995931625,1.5744754076004028,214.1591339111328,BAD
