iter,loss,grad_norm,grad_nan,status
0,126.47748565673828,22.492441371125633,0,ok
1,126.42552185058594,22.487821718196944,0,ok
2,126.37410736083984,22.48324688222159,0,ok
3,126.32086944580078,22.478513540033674,0,ok
4,126.27169799804688,22.474134998572914,0,ok
5,126.21656799316406,22.46923080088332,0,ok
6,126.16531372070312,22.46466613779994,0,ok
7,126.11810302734375,22.460462715479743,0,ok
8,126.06584930419922,22.45580949796698,0,ok
9,126.01079559326172,22.450904115069118,0,ok
10,125.96114349365234,22.446483161830574,0,ok
11,125.91316223144531,22.44220710062883,0,ok
12,125.86360931396484,22.43778927419075,0,ok
13,125.77739715576172,22.43010457465187,0,ok
14,125.72566223144531,22.425489649640145,0,ok
15,125.67623138427734,22.42108078753101,0,ok
16,125.62615203857422,22.416614339185006,0,ok
17,125.57637786865234,22.412173992990493,0,ok
18,125.52210998535156,22.407329113260708,0,ok
19,125.47761535644531,22.403358730844676,0,ok
20,125.42857360839844,22.398978679738715,0,ok
