iter,loss,grad_norm,grad_nan,status
0,12.263251304626465,7.003785063699904,0,ok
1,12.251255989074707,7.000358572359102,0,ok
2,12.23926830291748,6.996933128998013,0,ok
3,12.227282524108887,6.9935062805745405,0,ok
4,12.215304374694824,6.9900799350779454,0,ok
5,12.203335762023926,6.986654366247012,0,ok
6,12.191370964050293,6.9832284826936535,0,ok
7,12.179410934448242,6.979802557221298,0,ok
8,12.167459487915039,6.976377136570252,0,ok
9,12.15551471710205,6.972951674413852,0,ok
10,12.143576622009277,6.9695267180304175,0,ok
11,12.131644248962402,6.966101994361668,0,ok
12,12.119720458984375,6.962677777689953,0,ok
13,12.10780143737793,6.959253246542456,0,ok
14,12.095892906188965,6.955829771498048,0,ok
15,12.083990097045898,6.952406805429584,0,ok
16,12.07209300994873,6.948983525652865,0,ok
17,12.060205459594727,6.94556130477436,0,ok
18,12.048323631286621,6.942139045362494,0,ok
19,12.03645133972168,6.938717846899866,0,ok
20,12.02458381652832,6.935296335854242,0,ok
