iter,loss,grad_norm,grad_nan,status
0,126.47833251953125,22.492518293656886,0,ok
1,126.42642211914062,22.487901157296573,0,ok
2,126.37493896484375,22.48332286915301,0,ok
3,126.32360076904297,22.47875517450609,0,ok
4,126.27245330810547,22.474203935421134,0,ok
5,126.22132110595703,22.46965233415307,0,ok
6,126.17008972167969,22.46509184851246,0,ok
7,126.11784362792969,22.460437934212695,0,ok
8,126.06753540039062,22.455960938402516,0,ok
9,126.01638793945312,22.451405789910197,0,ok
10,125.96543884277344,22.446863399441146,0,ok
11,125.91466522216797,22.44234166227246,0,ok
12,125.86335754394531,22.43776774557989,0,ok
13,125.77801513671875,22.430160335673552,0,ok
14,125.72722625732422,22.42562947058267,0,ok
15,125.67680358886719,22.421131748476935,0,ok
16,125.62667846679688,22.416663339467476,0,ok
17,125.576904296875,22.412221385659286,0,ok
18,125.52740478515625,22.40780222046905,0,ok
19,125.47813415527344,22.403402929545294,0,ok
20,125.42902374267578,22.39901854459049,0,ok
