variant,model,status,iterations_or_epochs,best_epoch,train_loss,val_loss
X1,logreg,ok,30,,0.47682191201486607,0.6140889705007071
X1,mlp,ok,192,72,0.4118542969226837,0.5396957397460938
X2,logreg,ok,40,,0.4585505796960787,0.6302573281290847
X2,mlp,ok,165,45,0.3843303620815277,0.5492267608642578
X3,logreg,ok,37,,0.4584730373359473,0.6303403411051102
X3,mlp,ok,172,52,0.36994102597236633,0.5466269254684448
