variant,feature,coefficient,absolute_coefficient,train_mean,train_scale
X1,arm_qpos_1,-0.05484894468844632,0.05484894468844632,0.1910247197100783,0.04753082798254299
X1,arm_qpos_2,-0.12201867694406675,0.12201867694406675,1.0574158956022823,0.02293406376715869
X1,arm_qpos_3,-0.04606015634177547,0.04606015634177547,-0.43378459651242285,0.0042949471512148795
X1,arm_qpos_4,-0.24478843289889402,0.24478843289889402,0.38505678492433887,0.009031374330147494
X1,arm_qpos_5,0.010441063157164893,0.010441063157164893,0.014928175475420979,0.0036941521525890217
X1,arm_qpos_6,-0.014613678709237873,0.014613678709237873,-0.03142770410597544,0.007943322472684493
X1,arm_qvel_1,-0.21858627549087997,0.21858627549087997,1.1499314866960049,0.18513105988464323
X1,arm_qvel_2,0.38629316751442067,0.38629316751442067,-0.9175943120875779,0.38960476431439733
X1,arm_qvel_3,0.3757552046335422,0.3757552046335422,-0.16578872126581914,0.054711621429462294
X1,arm_qvel_4,0.5077473701761426,0.5077473701761426,-0.36886249367585955,0.14814699653701158
X1,arm_qvel_5,0.530446481949428,0.530446481949428,0.14486362568705397,0.024573928246620858
X1,arm_qvel_6,-0.2637993869879811,0.2637993869879811,-0.3139920606113532,0.04924342744367055
X1,obj_pos_x,0.012211293838576949,0.012211293838576949,0.3058444053372916,0.0031698675462767754
X1,obj_pos_y,0.061626818869196895,0.061626818869196895,0.08397081288892556,0.0073843806604246675
X1,obj_pos_z,-0.010527570977561802,0.010527570977561802,0.12106626204160206,0.0013762707704973625
X1,obj_quat_w,0.24518601586988814,0.24518601586988814,0.9968671356008433,0.007753320062370302
X1,obj_quat_x,-0.2800184916172314,0.2800184916172314,-0.025704928422830592,0.03771508095879797
X1,obj_quat_y,-0.1868040746521597,0.1868040746521597,0.0030722387533677464,0.007336720811681256
X1,obj_quat_z,-0.25953335716353687,0.25953335716353687,-0.04353545879941501,0.04641149657066265
X1,obj_linvel_x,-0.14630693539965978,0.14630693539965978,0.02618423532502694,0.021223553026417825
